input_index,input_x,input_y,polygon_index,tree_top_x,tree_top_y,tree_height,centre_x,centre_y
0,621374.589241821,7741183.572786122,0,621374.5993274441,7741182.903203077,194.0,621373.8008984672,7741183.161547618
1,621378.3426125029,7741183.154127788,1,621378.5655399265,7741181.402875508,233.0,621377.7170122556,7741181.994555315
2,621381.0168770135,7741182.2396532735,2,621381.2393910384,7741181.878226818,210.0,621381.7388696943,7741181.737561542
3,621371.4834537817,7741191.857597667,3,621371.8214932336,7741190.508824017,219.0,621371.9018041603,7741191.605474449
4,621375.3532964122,7741190.833386826,4,621376.30762121,7741190.642516573,229.0,621376.1888698047,7741190.601344344
5,621379.6651923308,7741188.178038355,5,621378.6249588402,7741188.473726227,227.0,621380.2723185469,7741189.636370164
6,621383.0939226655,7741189.495274897,6,621384.7748163973,7741189.36500993,234.0,621384.304118483,7741189.03867077
7,621388.6981893507,7741189.151496519,7,621388.8450119786,7741189.394719387,255.0,621388.3447554961,7741188.258131075
8,621386.158956612,7741182.641924388,8,621385.8592115704,7741181.432584966,199.0,621385.9687371367,7741181.303945685
9,621393.0878190361,7741188.063792463,9,621392.7369508191,7741188.191486387,253.0,621392.3964693743,7741187.356683697
10,621394.9012659701,7741185.444195453,10,621395.3959472025,7741186.631739904,241.0,621396.2534623786,7741186.46221018
11,621400.6561741931,7741186.36602927,11,621399.4512880554,7741184.596642114,235.0,621400.2308188904,7741185.628148315
12,621405.0903751834,7741184.775418108,12,621405.5268719705,7741185.725601472,219.0,621404.3251895494,7741185.080155997
13,621408.926049321,7741184.614676383,13,621409.2554087987,7741184.151000262,213.0,621408.4582289766,7741183.888601717
14,621412.688375732,7741181.452446792,14,621411.6618747993,7741181.521713335,233.0,621412.3949926964,7741182.880130746
15,621371.2494116345,7741198.919285652,16,621372.7870505794,7741198.976019205,244.0,621372.9136689093,7741199.488503806
16,621372.140206993,7741198.246168059,16,621372.7870505794,7741198.976019205,244.0,621372.9136689093,7741199.488503806
17,621415.7623271499,7741182.23094746,17,621415.7023609238,7741181.150345125,187.0,621416.4996607326,7741181.870552441
18,621376.0032906536,7741199.6776134195,18,621375.0004051109,7741199.555353612,212.0,621376.1936420173,7741198.69576768
19,621379.7184775866,7741198.56175578,19,621379.6796445565,7741198.27784697,239.0,621380.0307606144,7741198.075602653
20,621382.4595773629,7741196.508818602,20,621384.1806272614,7741195.871380969,253.0,621383.9206488766,7741196.821011611
21,621387.5346380434,7741194.855364903,21,621386.809914188,7741196.851793043,227.0,621387.8787476112,7741196.2587034395
22,621392.1440503069,7741195.537601669,22,621392.3061636955,7741196.628972117,255.0,621391.8754597357,7741195.473407374
23,621397.131700663,7741193.40333898,23,621395.187981005,7741194.84640471,210.0,621395.8600431597,7741194.542956264
24,621400.6239192832,7741194.7731090095,24,621399.8375109938,7741192.692469091,210.0,621399.985769972,7741193.3709584875
25,621402.794124612,7741193.270895503,25,621404.3682031553,7741193.034127845,255.0,621403.9207403694,7741192.563521687
26,621407.7239423692,7741192.811049703,26,621409.3445371691,7741191.3109793505,243.0,621407.9708782176,7741191.75260783
27,621410.6897215362,7741190.546831932,27,621411.1568140337,7741190.85048277,224.0,621412.1295675283,7741190.875681264
28,621415.8449142794,7741188.9009457,28,621416.5639351709,7741190.404840918,202.0,621415.7411440914,7741189.8700619
29,621418.9821045122,7741189.942648075,29,621419.4606072088,7741188.845094437,248.0,621419.5202886933,7741188.7354669785
30,621422.362624945,7741188.91432383,30,621422.3127150612,7741187.433895239,214.0,621423.3119795505,7741187.626926572
31,621427.2439583787,7741186.73645011,31,621427.3930321736,7741185.47307109,225.0,621427.4173560468,7741186.529165493
32,621430.8434355943,7741186.984866304,32,621431.8940148785,7741185.235395435,234.0,621431.1439945032,7741185.559193232
33,621436.4799043726,7741184.973909119,33,621436.6178185093,7741184.195564447,254.0,621435.0704438302,7741184.305459313
34,621438.6143120332,7741181.601529224,34,621438.2518386332,7741181.848517361,217.0,621438.7844956215,7741182.909256353
35,621441.6817830713,7741180.472432109,35,621443.6886692273,7741183.066605089,234.0,621442.8329641039,7741181.923913153
36,621369.7298966342,7741209.156948028,36,621367.5878956398,7741208.512754836,229.0,621368.6585404485,7741208.161509793
37,621371.7661166756,7741208.527067736,37,621372.1928614434,7741208.230514997,206.0,621371.7820391244,7741207.473706892
38,621374.5730923319,7741205.472979474,38,621375.1340976665,7741206.80446107,222.0,621375.1988501189,7741206.821095367
39,621380.564259524,7741206.817598109,39,621378.2535906303,7741206.388528675,226.0,621379.218019912,7741206.214510491
40,621382.5173966227,7741206.56226817,40,621383.8835326934,7741205.942886824,212.0,621382.9617343931,7741205.233724038
41,621387.1860551023,7741203.913240964,41,621386.6762216324,7741204.561397082,218.0,621386.961224565,7741204.569888259
42,621390.4401339632,7741204.19269962,42,621390.3750490037,7741203.536420823,221.0,621390.8004445867,7741203.485631667
43,621394.2859679953,7741201.185325275,43,621395.3810924741,7741201.4567588465,237.0,621394.5814382199,7741202.641312059
44,621399.7743414957,7741202.300368493,44,621399.5255616974,7741202.437170921,221.0,621398.7870715242,7741201.692644985
45,621401.5278806537,7741200.049792113,45,621403.1649701552,7741202.377752007,202.0,621402.7989643369,7741200.955945034
46,621407.3560404475,7741200.324934792,46,621406.8192333411,7741200.119833291,202.0,621406.97866187,7741200.2659834195
47,621410.0130149451,7741200.444059544,47,621411.2162329473,7741199.644481982,218.0,621410.7078583749,7741199.129335116
48,621413.0407109704,7741198.608014672,48,621413.622698948,7741197.416272722,224.0,621414.5230749049,7741198.061248998
49,621419.743535588,7741198.358111203,49,621417.9157154552,7741197.25287071,245.0,621418.4479431682,7741197.256615664
50,621422.7718090346,7741194.76674986,50,621422.6989379996,7741195.901090425,220.0,621422.334148594,7741196.056658718
51,621427.5641110677,7741195.71883787,51,621426.1749444449,7741194.148232475,216.0,621426.3078581321,7741194.99470621
52,621430.3988368154,7741195.119562265,52,621430.274849483,7741195.009806722,238.0,621430.2416198088,7741194.16122083
53,621432.9834395315,7741191.87463706,53,621435.2363287682,7741193.717445351,239.0,621433.9452341525,7741193.17278287
54,621439.7300253402,7741192.621751135,54,621439.02428451,7741191.236705708,233.0,621438.2845881782,7741192.052380005
55,621441.0901272693,7741191.293069467,55,621441.1930748563,7741190.687080758,216.0,621441.952066881,7741190.708130259
56,621444.7152011414,7741188.516785105,56,621445.7386217463,7741188.295469485,240.0,621445.9222293519,7741189.756625029
57,621450.5913869881,7741189.854510134,57,621450.1801855376,7741187.686425621,221.0,621449.795258025,7741188.492643277
58,621452.4998875078,7741186.720079443,58,621453.3145332298,7741188.236050572,227.0,621453.4130794327,7741187.322358492
59,621458.625272347,7741186.961186169,59,621457.6224044655,7741185.220540707,218.0,621457.4095755252,7741185.909880364
60,621460.6497253749,7741185.181172887,60,621461.7520189603,7741185.413652177,229.0,621461.5291954625,7741184.868631957
61,621464.7664312569,7741183.104029437,61,621465.0943328501,7741183.512246941,247.0,621465.3678301558,7741183.402688967
62,621470.7602713922,7741181.747321735,62,621469.6695891969,7741183.408263843,239.0,621469.4748663469,7741182.130580139
63,621474.5337867524,7741181.928067163,63,621472.7890821607,7741181.84851736,226.0,621473.3499717708,7741181.226383536
64,621447.5165146795,7741181.869767696,64,621446.8081621911,7741181.655405891,180.0,621446.7353805975,7741180.989287382
65,621366.9803140126,7741213.985643144,65,621366.0430038864,7741215.61331501,226.0,621367.5067616644,7741215.257523632
66,621370.8855988614,7741214.440952363,66,621371.6283817643,7741215.865845393,214.0,621371.4869181995,7741214.744599673
67,621375.7003482895,7741214.00140068,67,621375.5500300616,7741213.5187983075,225.0,621375.6064877904,7741213.889916444
68,621380.3263772111,7741214.365924515,68,621379.9470296677,7741214.439791467,211.0,621379.7341998109,7741213.291050581
69,621382.5762627451,7741213.2057703715,69,621383.645857039,7741212.909754443,240.0,621383.7082092707,7741212.110777502
70,621386.740377047,7741212.709711225,70,621387.1515729411,7741212.137308565,210.0,621387.7035589038,7741211.602919828
71,621391.892075742,7741210.905389626,71,621391.3406063496,7741211.483700516,229.0,621391.3807380513,7741210.636885282
72,621396.2977508708,7741208.984043438,72,621396.0198457952,7741210.354741158,211.0,621395.4584171181,7741209.8069905
73,621400.2987457673,7741209.862336603,73,621400.3277170309,7741209.478312182,247.0,621399.3123900804,7741209.075193306
74,621403.5494113457,7741208.389031316,74,621404.5316051678,7741207.621471132,246.0,621403.5049149089,7741208.031106968
75,621408.126044899,7741207.435290489,75,621407.4876961192,7741207.339231293,219.0,621407.5193731064,7741207.17727387
76,621410.1590937044,7741204.966368545,76,621412.879962528,7741206.1805624785,203.0,621411.5002983302,7741206.364496607
77,621416.4381305812,7741204.657407317,77,621415.5835230965,7741206.566785416,250.0,621415.3720416841,7741205.246404703
78,621418.6249010931,7741203.075196147,78,621419.4606072087,7741205.2892787745,210.0,621419.0224367429,7741204.3886781065
79,621423.6592884149,7741203.517931928,79,621424.5557790495,7741203.001650601,247.0,621423.2586729636,7741203.211400118
80,621425.7651297387,7741203.090685234,80,621426.5017484698,7741202.496589835,232.0,621427.2516150256,7741202.274135609
81,621430.9451247078,7741201.600815665,81,621431.1364237302,7741201.902400699,243.0,621430.8959799455,7741201.370007189
82,621435.0520783267,7741200.697243071,82,621436.3355786698,7741200.342654217,237.0,621435.0429594725,7741200.505124764
83,621439.7272460469,7741200.638500169,83,621439.2173959791,7741199.377096871,239.0,621438.9895716102,7741199.256627141
84,621444.1576059002,7741198.501303657,84,621443.8520712396,7741198.54523208,209.0,621442.8034709316,7741198.115779425
