lat,long
621374.589241821,7741183.572786122
621378.3426125029,7741183.154127788
621381.0168770135,7741182.2396532735
621371.4834537817,7741191.857597667
621375.3532964122,7741190.833386826
621379.6651923308,7741188.178038355
621383.0939226655,7741189.495274897
621388.6981893507,7741189.151496519
621386.158956612,7741182.641924388
621393.0878190361,7741188.063792463
621394.9012659701,7741185.444195453
621400.6561741931,7741186.36602927
621405.0903751834,7741184.775418108
621408.926049321,7741184.614676383
621412.688375732,7741181.452446792
621371.2494116345,7741198.919285652
621372.140206993,7741198.246168059
621415.7623271499,7741182.23094746
621376.0032906536,7741199.6776134195
621379.7184775866,7741198.56175578
621382.4595773629,7741196.508818602
621387.5346380434,7741194.855364903
621392.1440503069,7741195.537601669
621397.131700663,7741193.40333898
621400.6239192832,7741194.7731090095
621402.794124612,7741193.270895503
621407.7239423692,7741192.8110497035
621410.6897215362,7741190.546831932
621415.8449142794,7741188.9009457
621418.9821045122,7741189.942648075
621422.362624945,7741188.91432383
621427.2439583787,7741186.73645011
621430.8434355943,7741186.984866304
621436.4799043726,7741184.973909119
621438.6143120332,7741181.601529224
621441.6817830713,7741180.4724321095
621369.7298966342,7741209.156948028
621371.7661166756,7741208.527067736
621374.5730923319,7741205.472979474
621380.564259524,7741206.817598109
621382.5173966227,7741206.5622681705
621387.1860551023,7741203.9132409645
621390.4401339632,7741204.1926996205
621394.2859679953,7741201.185325275
621399.7743414957,7741202.300368493
621401.5278806537,7741200.049792113
621407.3560404475,7741200.324934792
621410.0130149451,7741200.444059544
621413.0407109704,7741198.608014672
621419.743535588,7741198.358111203
621422.7718090346,7741194.76674986
621427.5641110677,7741195.71883787
621430.3988368154,7741195.119562265
621432.9834395315,7741191.87463706
621439.7300253402,7741192.621751135
621441.0901272693,7741191.293069467
621444.7152011414,7741188.516785105
621450.5913869881,7741189.854510134
621452.4998875078,7741186.720079443
621458.625272347,7741186.961186169
621460.6497253749,7741185.181172887
621464.7664312569,7741183.1040294375
621470.7602713922,7741181.747321735
621474.5337867524,7741181.928067163
621447.5165146795,7741181.869767696
621366.9803140126,7741213.985643144
621370.8855988614,7741214.440952363
621375.7003482895,7741214.00140068
621380.3263772111,7741214.365924515
621382.5762627451,7741213.2057703715
621386.740377047,7741212.709711225
621391.892075742,7741210.9053896265
621396.2977508708,7741208.984043438
621400.2987457673,7741209.862336603
621403.5494113457,7741208.389031316
621408.126044899,7741207.435290489
621410.1590937044,7741204.966368545
621416.4381305812,7741204.657407317
621418.6249010931,7741203.075196147
621423.6592884149,7741203.517931928
621425.7651297387,7741203.090685234
621430.9451247078,7741201.600815665
621435.0520783267,7741200.697243071
621439.7272460469,7741200.638500169
621444.1576059002,7741198.501303657
621447.5858616995,7741195.430368124
621450.3768333849,7741195.134482013
621453.6736303531,7741193.790806032
621457.5610117166,7741193.803883704
621461.6680358534,7741192.022129968
621465.6330235511,7741192.020638591
621470.6376296263,7741188.791962909
621473.9248283427,7741187.490725204
621476.796171583,7741187.372362499
621481.863124298,7741185.428695068
621484.4929870991,7741182.954530298
621490.2003127016,7741181.264981693
621494.4347690513,7741180.72103633
621366.4011606656,7741224.367615683
621369.4550227528,7741223.586617702
621374.30894097,7741223.078703109
621377.7043133451,7741222.002304757
621381.4983079215,7741221.083766446
621385.2543609436,7741218.607014678
621389.0798775344,7741219.451260194
621394.6864549249,7741219.032129266
621399.2660528581,7741217.135160664
621401.5008144741,7741215.425853466
621407.8294976249,7741216.683660675
621410.680909085,7741214.622212011
621413.3114916496,7741213.026003758
621420.179172465,7741213.402005176
621423.8022731494,7741210.915596754
621425.6855642955,7741211.342218177
621432.3204038064,7741209.5041063195
621435.9128245569,7741207.25129999
621440.3489724679,7741206.824566944
621441.3770234805,7741205.069523595
621447.3788774402,7741204.137820547
621454.5062145136,7741203.011748941
621458.1174759911,7741202.189234753
621462.2328950529,7741198.638960264
621466.3145787624,7741198.705694141
621471.2897822177,7741198.061206436
621478.4535982269,7741196.357898448
621480.9713988825,7741195.18891967
621487.3094283616,7741191.615922064
621490.2534343285,7741190.864633663
621492.8960915982,7741190.746261057
621496.2436943281,7741187.411505197
621501.8139169744,7741187.348301298
621505.0428548345,7741185.972390963
621507.3671756758,7741182.393383186
621363.4577656912,7741231.124360801
621367.1638777468,7741230.19226566
621369.1110158609,7741229.181583774
621373.6889935535,7741229.04881552
621379.31959239,7741227.85939058
621383.0366123945,7741228.2365935305
621385.9847651821,7741225.864500999
621390.0212411534,7741227.086050174
621393.5730602763,7741224.178136718
621399.2597891544,7741225.801332691
621402.9765278596,7741223.961782017
621406.1573863953,7741224.184153748
621409.2096085646,7741223.000961476
621415.8557775534,7741220.790606415
621417.3774553693,7741220.256518537
621420.9066355932,7741218.991457867
621427.1891068476,7741218.716045168
621430.3344399558,7741217.48666416
621434.2682738451,7741215.116376384
621436.9925833672,7741216.350412794
621441.9038517927,7741215.414312752
621445.8188635798,7741214.333220092
621450.6894845155,7741211.484666205
621454.993745809,7741210.494889465
621458.5881930528,7741210.847904155
621461.1028162339,7741208.67099357
621466.6244502686,7741207.379541394
621472.7655503376,7741204.112658195
621477.7234953613,7741204.4853419345
621479.8046901802,7741203.515552525
621484.144204599,7741199.65355345
621487.6426617976,7741199.313059538
621491.0779896739,7741198.014887157
621494.5478841774,7741195.484688866
621498.1928894769,7741195.459030139
621502.1709531924,7741194.61730064
621507.991934688,7741191.936343927
621510.9266611408,7741189.144908307
621513.4240141716,7741189.878135284
621517.646725925,7741187.062174198
621364.1447024018,7741238.747580055
621367.5448936359,7741237.255184092
